iter	Accuracy	Logloss
0	0.5938162919	0.677868875
1	0.6071807382	0.6673290332
2	0.614340263	0.6586650449
3	0.6332201952	0.6519692526
4	0.6393720832	0.6463409152
5	0.651251591	0.640646752
6	0.6533729317	0.6365762224
7	0.6581989818	0.6319935879
8	0.6599490878	0.6283571667
9	0.6663661434	0.623993399
10	0.66827535	0.6208447929
11	0.6686465846	0.6174762323
12	0.6751697073	0.6139264566
13	0.680685193	0.6102231737
14	0.683549003	0.6070426128
15	0.689806958	0.6027043779
16	0.6966482817	0.5981160982
17	0.7038608401	0.594217565
18	0.7063003818	0.5916836609
19	0.7115507	0.5883052083
20	0.7136720407	0.5855320318
21	0.7189223589	0.5821425997
22	0.7217331353	0.5794128755
23	0.7228998727	0.5767906166
24	0.7269834535	0.5735064746
25	0.7331883751	0.5703919985
26	0.7356279168	0.5677811336
27	0.7371128553	0.5650276893
28	0.7399236317	0.5621889978
29	0.7460755197	0.5589574232
30	0.7478786593	0.5563923411
31	0.7522804412	0.5533118396
32	0.7565231226	0.5506940865
33	0.7612431056	0.5474044029
34	0.7651145524	0.5444014318
35	0.7682965634	0.5420248155
36	0.7714785745	0.5394553831
37	0.7724331778	0.5368850184
38	0.7773122613	0.5338258545
39	0.7826686466	0.5302391522
40	0.7859036911	0.5279700531
41	0.7863809928	0.5264413516
42	0.7870704285	0.5241216013
43	0.7897751379	0.521689362
44	0.7915782775	0.5195713359
45	0.794707255	0.5168226563
46	0.7965634281	0.5148891599
47	0.7994802715	0.5128721254
48	0.8029804837	0.5101194062
49	0.8053139584	0.5082832243
50	0.8084429359	0.5057638214
51	0.8124734832	0.5033004042
52	0.8160267289	0.5010504676
53	0.8180950361	0.4988406687
54	0.8211709801	0.4955457025
55	0.8252015274	0.493399088
56	0.8273228681	0.4910910942
57	0.8309291472	0.4881166597
58	0.833368689	0.4860459183
59	0.8359673314	0.4828014997
60	0.8381947391	0.4805732115
61	0.8402100127	0.4782367329
62	0.8420661858	0.475544764
63	0.84424056	0.4731201379
64	0.8464679678	0.4702999356
65	0.8458315655	0.4687848032
66	0.8490135766	0.4659489084
67	0.8511879508	0.4639218783
68	0.8549533305	0.4606203865
69	0.8570746712	0.4583075244
70	0.8600445482	0.4563167477
71	0.8617946542	0.4548990333
72	0.8635977938	0.4514492134
73	0.8657191345	0.4494837104
74	0.8677344081	0.4467907575
75	0.8699087824	0.4440896735
76	0.8719770895	0.4422601207
77	0.8730907934	0.4405585424
78	0.8745226983	0.4382008296
79	0.8773865083	0.4363113552
80	0.8772804412	0.4350029707
81	0.8791896479	0.4330461427
82	0.8821064913	0.4304240133
