iter	Passed	Remaining
0	13	1629
1	27	1616
2	40	1572
3	52	1532
4	65	1505
5	78	1499
6	91	1481
7	105	1478
8	119	1472
9	132	1457
10	145	1443
11	159	1432
12	172	1416
13	185	1405
14	198	1389
15	212	1379
16	226	1372
17	241	1370
18	254	1355
19	268	1341
20	281	1325
21	295	1314
22	309	1305
23	322	1289
24	336	1279
25	352	1274
26	367	1264
27	380	1249
28	397	1246
29	410	1230
30	423	1216
31	437	1203
32	451	1190
33	466	1178
34	478	1162
35	491	1147
36	505	1133
37	518	1119
38	532	1106
39	545	1091
40	559	1078
41	572	1062
42	585	1048
43	598	1033
44	611	1019
45	625	1005
46	639	992
47	653	979
48	667	967
49	681	954
50	696	941
51	710	929
52	725	917
53	741	906
54	756	893
55	770	880
56	789	872
57	804	859
58	817	845
59	831	831
60	847	819
61	862	806
62	876	792
63	889	778
64	903	764
65	916	749
66	929	735
67	945	722
68	958	708
69	972	694
70	987	681
71	1002	668
72	1018	655
73	1033	642
74	1047	628
75	1062	615
76	1076	601
77	1090	587
78	1104	573
79	1118	559
80	1132	545
81	1146	531
82	1161	517
