Accuracy: 60.43% | eta: 0.18 | max_depth: 23 | epochs: 10
Accuracy: 59.42% | eta: 0.09 | max_depth: 16 | epochs: 10
Accuracy: 59.04% | eta: 0.15 | max_depth: 18 | epochs: 10
Accuracy: 59.04% | eta: 0.09 | max_depth: 28 | epochs: 10

Accuracy: 58.79% | eta: 0.14 | max_depth: 20 | epochs: 10
Accuracy: 58.79% | eta: 0.12 | max_depth: 38 | epochs: 10
Accuracy: 58.03% | eta: 0.18 | max_depth: 5  | epochs: 10
Accuracy: 58.03% | eta: 0.20 | max_depth: 6  | epochs: 10
Accuracy: 58.03% | eta: 0.09 | max_depth: 8  | epochs: 10
Accuracy: 58.15% | eta: 0.22 | max_depth: 8  | epochs: 10
Accuracy: 58.03% | eta: 0.05 | max_depth: 13 | epochs: 10
Accuracy: 58.03% | eta: 0.09 | max_depth: 13 | epochs: 10
Accuracy: 58.66% | eta: 0.16 | max_depth: 13 | epochs: 10
Accuracy: 58.03% | eta: 0.05 | max_depth: 18 | epochs: 10
Accuracy: 58.03% | eta: 0.06 | max_depth: 20 | epochs: 10
Accuracy: 58.53% | eta: 0.08 | max_depth: 21 | epochs: 10
Accuracy: 58.15% | eta: 0.09 | max_depth: 23 | epochs: 10
Accuracy: 58.53% | eta: 0.11 | max_depth: 23 | epochs: 10
Accuracy: 58.28% | eta: 0.05 | max_depth: 24 | epochs: 10
Accuracy: 58.53% | eta: 0.11 | max_depth: 26 | epochs: 10
Accuracy: 58.03% | eta: 0.11 | max_depth: 29 | epochs: 10
Accuracy: 58.03% | eta: 0.18 | max_depth: 32 | epochs: 10
Accuracy: 58.41% | eta: 0.11 | max_depth: 34 | epochs: 10
Accuracy: 58.66% | eta: 0.11 | max_depth: 35 | epochs: 10
Accuracy: 58.15% | eta: 0.15 | max_depth: 35 | epochs: 10
Accuracy: 58.03% | eta: 0.08 | max_depth: 36 | epochs: 10

Accuracy: 57.27% | eta: 0.25 | max_depth: 3  | epochs: 10
Accuracy: 57.27% | eta: 0.28 | max_depth: 3  | epochs: 10
Accuracy: 57.27% | eta: 0.33 | max_depth: 3  | epochs: 10
Accuracy: 57.02% | eta: 0.34 | max_depth: 3  | epochs: 10
Accuracy: 57.02% | eta: 0.45 | max_depth: 4  | epochs: 10
Accuracy: 57.14% | eta: 0.11 | max_depth: 5  | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 5  | epochs: 10
Accuracy: 57.02% | eta: 0.38 | max_depth: 5  | epochs: 10
Accuracy: 57.27% | eta: 0.48 | max_depth: 5  | epochs: 10
Accuracy: 57.14% | eta: 0.50 | max_depth: 5  | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 6  | epochs: 10
Accuracy: 57.90% | eta: 0.18 | max_depth: 6  | epochs: 10
Accuracy: 57.40% | eta: 0.08 | max_depth: 7  | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 7  | epochs: 10
Accuracy: 57.27% | eta: 0.28 | max_depth: 7  | epochs: 10
Accuracy: 57.65% | eta: 0.11 | max_depth: 8  | epochs: 10
Accuracy: 57.90% | eta: 0.23 | max_depth: 8  | epochs: 10
Accuracy: 57.77% | eta: 0.15 | max_depth: 9  | epochs: 10
Accuracy: 57.40% | eta: 0.35 | max_depth: 10 | epochs: 10
Accuracy: 57.27% | eta: 0.07 | max_depth: 12 | epochs: 10
Accuracy: 57.77% | eta: 0.26 | max_depth: 12 | epochs: 10
Accuracy: 57.14% | eta: 0.06 | max_depth: 13 | epochs: 10
Accuracy: 57.27% | eta: 0.07 | max_depth: 13 | epochs: 10
Accuracy: 57.14% | eta: 0.10 | max_depth: 13 | epochs: 10
Accuracy: 57.02% | eta: 0.26 | max_depth: 13 | epochs: 10
Accuracy: 57.27% | eta: 0.46 | max_depth: 13 | epochs: 10
Accuracy: 57.02% | eta: 0.04 | max_depth: 14 | epochs: 10
Accuracy: 57.40% | eta: 0.16 | max_depth: 14 | epochs: 10
Accuracy: 57.02% | eta: 0.28 | max_depth: 14 | epochs: 10
Accuracy: 57.27% | eta: 0.03 | max_depth: 15 | epochs: 10
Accuracy: 57.65% | eta: 0.05 | max_depth: 16 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 16 | epochs: 10
Accuracy: 57.65% | eta: 0.12 | max_depth: 16 | epochs: 10
Accuracy: 57.02% | eta: 0.13 | max_depth: 16 | epochs: 10
Accuracy: 57.90% | eta: 0.05 | max_depth: 17 | epochs: 10
Accuracy: 57.14% | eta: 0.06 | max_depth: 17 | epochs: 10
Accuracy: 57.40% | eta: 0.10 | max_depth: 17 | epochs: 10
Accuracy: 57.02% | eta: 0.12 | max_depth: 18 | epochs: 10
Accuracy: 57.14% | eta: 0.43 | max_depth: 18 | epochs: 10
Accuracy: 57.65% | eta: 0.05 | max_depth: 19 | epochs: 10
Accuracy: 57.40% | eta: 0.09 | max_depth: 19 | epochs: 10
Accuracy: 57.65% | eta: 0.31 | max_depth: 19 | epochs: 10
Accuracy: 57.02% | eta: 0.10 | max_depth: 20 | epochs: 10
Accuracy: 57.14% | eta: 0.11 | max_depth: 20 | epochs: 10
Accuracy: 57.02% | eta: 0.07 | max_depth: 21 | epochs: 10
Accuracy: 57.40% | eta: 0.09 | max_depth: 21 | epochs: 10
Accuracy: 57.90% | eta: 0.08 | max_depth: 22 | epochs: 10
Accuracy: 57.27% | eta: 0.15 | max_depth: 22 | epochs: 10
Accuracy: 57.14% | eta: 0.10 | max_depth: 23 | epochs: 10
Accuracy: 57.27% | eta: 0.15 | max_depth: 23 | epochs: 10
Accuracy: 57.90% | eta: 0.16 | max_depth: 23 | epochs: 10
Accuracy: 57.40% | eta: 0.25 | max_depth: 23 | epochs: 10
Accuracy: 57.90% | eta: 0.04 | max_depth: 24 | epochs: 10
Accuracy: 57.02% | eta: 0.08 | max_depth: 24 | epochs: 10
Accuracy: 57.90% | eta: 0.09 | max_depth: 24 | epochs: 10
Accuracy: 57.65% | eta: 0.10 | max_depth: 24 | epochs: 10
Accuracy: 57.52% | eta: 0.11 | max_depth: 24 | epochs: 10
Accuracy: 57.90% | eta: 0.14 | max_depth: 24 | epochs: 10
